pod_id,tName,p0_pod_pls,p1_pod_pls,p2_pod_pls
2017_8_10_v0_d1_grp46_PGA,PGA Championship (USA),alexander levy,jeunghun wang,jamie broce
2017_8_10_v0_d1_grp28_PGA,PGA Championship (USA),emiliano grillo,yuta ikeda,rod perry
2017_8_10_v0_d1_grp37_PGA,PGA Championship (USA),phil mickelson,jason dufner,jimmy walker
2017_8_10_v0_d1_grp44_PGA,PGA Championship (USA),bill haas,martin laird,graeme mcdowell
2017_8_10_v0_d1_grp1_PGA,PGA Championship (USA),james hahn,k.t. kim,greg gregory
2017_8_10_v0_d1_grp38_PGA,PGA Championship (USA),kevin chappell,byeong hun an,mackenzie hughes
2017_8_10_v0_d1_grp12_PGA,PGA Championship (USA),francesco molinari,william mcgirt,jim herman
2017_8_10_v0_d1_grp4_PGA,PGA Championship (USA),hideki matsuyama,ian poulter,ernie els
2017_8_10_v0_d1_grp39_PGA,PGA Championship (USA),rory mcilroy,rickie fowler,jon rahm
2017_8_10_v0_d1_grp3_PGA,PGA Championship (USA),alex noren,russell knox,scott hebert
2017_8_10_v0_d1_grp17_PGA,PGA Championship (USA),thomas pieters,xander schauffele,rod pampling
2017_8_10_v0_d1_grp16_PGA,PGA Championship (USA),dustin johnson,jason day,henrik stenson
2017_8_10_v0_d1_grp33_PGA,PGA Championship (USA),adam scott,webb simpson,luke donald
2017_8_10_v0_d1_grp40_PGA,PGA Championship (USA),brian harman,steve stricker,jonas blixt
2017_8_10_v0_d1_grp51_PGA,PGA Championship (USA),jamie lovemark,luke list,chris moody
2017_8_10_v0_d1_grp7_PGA,PGA Championship (USA),paul casey,bubba watson,charl schwartzel
2017_8_10_v0_d1_grp11_PGA,PGA Championship (USA),wesley bryan,sung kang,dylan frittelli
2017_8_10_v0_d1_grp36_PGA,PGA Championship (USA),marc leishman,danny lee,anirban lahiri
2017_8_10_v0_d1_grp41_PGA,PGA Championship (USA),justin rose,matt kuchar,chris kirk
2017_8_10_v0_d1_grp31_PGA,PGA Championship (USA),branden grace,pat perez,thomas bjorn
2017_8_10_v0_d1_grp2_PGA,PGA Championship (USA),shane lowry,pablo larrazabal,stuart deane
2017_8_10_v0_d1_grp43_PGA,PGA Championship (USA),daniel berger,kevin kisner,jim furyk
2017_8_10_v0_d1_grp27_PGA,PGA Championship (USA),lucas glover,hideto tanihara,matt dobyns
2017_8_10_v0_d1_grp48_PGA,PGA Championship (USA),haotong li,ryan fox,jj wood
2017_8_10_v0_d1_grp6_PGA,PGA Championship (USA),justin thomas,tommy fleetwood,patrick reed
2017_8_10_v0_d1_grp29_PGA,PGA Championship (USA),jason kokrak,satoshi kodaira,mike small
2017_8_10_v0_d1_grp22_PGA,PGA Championship (USA),david lingmerth,nicolas colsaerts,scott brown
2017_8_10_v0_d1_grp18_PGA,PGA Championship (USA),keegan bradley,padraig harrington,davis love iii
2017_8_10_v0_d1_grp20_PGA,PGA Championship (USA),charley hoffman,zach johnson,lee westwood
2017_8_10_v0_d1_grp0_PGA,PGA Championship (USA),peter uihlein,grayson murray,rich berberian
2017_8_10_v0_d1_grp21_PGA,PGA Championship (USA),bernd wiesberger,cameron smith,brandon stone
2017_8_10_v0_d1_grp42_PGA,PGA Championship (USA),adam hadwin,tyrrell hatton,d.a. points
2017_8_10_v0_d1_grp10_PGA,PGA Championship (USA),charles howell iii,young han song,dave mcnabb
2017_8_10_v0_d1_grp30_PGA,PGA Championship (USA),russell henley,joost luiten,paul claxton
2017_8_10_v0_d1_grp34_PGA,PGA Championship (USA),y.e. yang,shaun micheel,omar uresti
2017_8_10_v0_d1_grp8_PGA,PGA Championship (USA),jordan spieth,brooks koepka,sergio garcia
2017_8_10_v0_d1_grp19_PGA,PGA Championship (USA),brendan steele,thorbjorn olesen,hudson swafford
2017_8_10_v0_d1_grp9_PGA,PGA Championship (USA),tony finau,fabrizio zanotti,adam rainaud
2017_8_10_v0_d1_grp45_PGA,PGA Championship (USA),rafa cabrera bello,ross fisher,ryan moore
2017_8_10_v0_d1_grp32_PGA,PGA Championship (USA),patrick cantlay,soren kjeldsen,thongchai jaidee
2017_8_10_v0_d1_grp15_PGA,PGA Championship (USA),j.b. holmes,louis oosthuizen,danny willett
2017_8_10_v0_d1_grp14_PGA,PGA Championship (USA),vijay singh,john daly,rich beem
2017_8_10_v0_d1_grp13_PGA,PGA Championship (USA),gary woodland,kyle stanley,andy sullivan
2017_8_10_v0_d2_grp4_PGA,PGA Championship (USA),russell henley,joost luiten,paul claxton
2017_8_10_v0_d2_grp0_PGA,PGA Championship (USA),bud cauley,graham delaet,david muttitt
2017_8_10_v0_d2_grp38_PGA,PGA Championship (USA),jordan spieth,brooks koepka,sergio garcia
2017_8_10_v0_d2_grp15_PGA,PGA Championship (USA),adam hadwin,tyrrell hatton,d.a. points
2017_8_10_v0_d2_grp14_PGA,PGA Championship (USA),matt kuchar,justin rose,chris kirk
2017_8_10_v0_d2_grp6_PGA,PGA Championship (USA),patrick cantlay,soren kjeldsen,thongchai jaidee
2017_8_10_v0_d2_grp35_PGA,PGA Championship (USA),gary woodland,kyle stanley,andy sullivan
2017_8_10_v0_d2_grp5_PGA,PGA Championship (USA),branden grace,pat perez,thomas bjorn
2017_8_10_v0_d2_grp20_PGA,PGA Championship (USA),jhonattan vegas,jordan smith,bryson dechambeau
2017_8_10_v0_d2_grp42_PGA,PGA Championship (USA),keegan bradley,padraig harrington,davis love iii
2017_8_10_v0_d2_grp31_PGA,PGA Championship (USA),sung kang,wesley bryan,dylan frittelli
2017_8_10_v0_d2_grp37_PGA,PGA Championship (USA),vijay singh,john daly,rich beem
2017_8_10_v0_d2_grp13_PGA,PGA Championship (USA),brian harman,steve stricker,jonas blixt
2017_8_10_v0_d2_grp26_PGA,PGA Championship (USA),shane lowry,pablo larrazabal,stuart deane
2017_8_10_v0_d2_grp29_PGA,PGA Championship (USA),charles howell iii,young han song,dave mcnabb
2017_8_10_v0_d2_grp17_PGA,PGA Championship (USA),bill haas,martin laird,graeme mcdowell
2017_8_10_v0_d2_grp33_PGA,PGA Championship (USA),francesco molinari,jim herman,william mcgirt
2017_8_10_v0_d2_grp36_PGA,PGA Championship (USA),paul casey,charl schwartzel,bubba watson
2017_8_10_v0_d2_grp25_PGA,PGA Championship (USA),grayson murray,peter uihlein,rich berberian
2017_8_10_v0_d2_grp10_PGA,PGA Championship (USA),jason dufner,phil mickelson,jimmy walker
2017_8_10_v0_d2_grp32_PGA,PGA Championship (USA),robert streb,chris wood,daniel summerhays
2017_8_10_v0_d2_grp3_PGA,PGA Championship (USA),jason kokrak,satoshi kodaira,mike small
2017_8_10_v0_d2_grp28_PGA,PGA Championship (USA),alex noren,russell knox,scott hebert
2017_8_10_v0_d2_grp9_PGA,PGA Championship (USA),marc leishman,danny lee,anirban lahiri
2017_8_10_v0_d2_grp2_PGA,PGA Championship (USA),emiliano grillo,yuta ikeda,rod perry
2017_8_10_v0_d2_grp43_PGA,PGA Championship (USA),brendan steele,thorbjorn olesen,hudson swafford
2017_8_10_v0_d2_grp16_PGA,PGA Championship (USA),daniel berger,kevin kisner,jim furyk
2017_8_10_v0_d2_grp27_PGA,PGA Championship (USA),tony finau,fabrizio zanotti,adam rainaud
2017_8_10_v0_d2_grp7_PGA,PGA Championship (USA),adam scott,webb simpson,luke donald
2017_8_10_v0_d2_grp18_PGA,PGA Championship (USA),rafa cabrera bello,ryan moore,ross fisher
2017_8_10_v0_d2_grp41_PGA,PGA Championship (USA),thomas pieters,xander schauffele,rod pampling
2017_8_10_v0_d2_grp40_PGA,PGA Championship (USA),dustin johnson,jason day,henrik stenson
2017_8_10_v0_d2_grp11_PGA,PGA Championship (USA),kevin chappell,byeong hun an,mackenzie hughes
2017_8_10_v0_d2_grp48_PGA,PGA Championship (USA),chris stroud,richard sterne,ryan vermeer
2017_8_10_v0_d2_grp12_PGA,PGA Championship (USA),rory mcilroy,rickie fowler,jon rahm
2017_8_10_v0_d2_grp30_PGA,PGA Championship (USA),hideki matsuyama,ian poulter,ernie els
2017_8_10_v0_d2_grp45_PGA,PGA Championship (USA),bernd wiesberger,cameron smith,brandon stone
2017_8_10_v0_d2_grp47_PGA,PGA Championship (USA),james hahn,k.t. kim,greg gregory
2017_8_10_v0_d2_grp39_PGA,PGA Championship (USA),louis oosthuizen,j.b. holmes,danny willett
2017_8_10_v0_d2_grp44_PGA,PGA Championship (USA),zach johnson,charley hoffman,lee westwood
2017_8_10_v0_d2_grp1_PGA,PGA Championship (USA),lucas glover,hideto tanihara,matt dobyns
2017_8_17_v0_d1_grp2_PGA,Wyndham Championship (USA),shane lowry,retief goosen,billy hurley iii
2017_8_17_v0_d1_grp5_PGA,Wyndham Championship (USA),nick taylor,william mcgirt,vaughn taylor
2017_8_17_v0_d1_grp0_PGA,Wyndham Championship (USA),robert streb,kevin na,brian gay
2017_8_17_v0_d1_grp6_PGA,Wyndham Championship (USA),webb simpson,ryan moore,davis love iii
2017_8_17_v0_d1_grp10_PGA,Wyndham Championship (USA),smylie kaufman,jonas blixt,greg chalmers
2017_8_17_v0_d1_grp8_PGA,Wyndham Championship (USA),danny lee,emiliano grillo,alex cejka
2017_8_17_v0_d1_grp3_PGA,Wyndham Championship (USA),russell knox,luke donald,brian stuard
2017_8_17_v0_d1_grp4_PGA,Wyndham Championship (USA),graeme mcdowell,cameron smith,j.j. henry
2017_8_17_v0_d1_grp11_PGA,Wyndham Championship (USA),henrik stenson,kevin kisner,bill haas
2017_8_17_v0_d1_grp7_PGA,Wyndham Championship (USA),jason dufner,kyle stanley,billy horschel
2017_8_17_v0_d1_grp12_PGA,Wyndham Championship (USA),sam saunders,haotong li,miguel angel carballo
2017_8_17_v0_d2_grp7_PGA,Wyndham Championship (USA),russell knox,luke donald,brian stuard
2017_8_17_v0_d2_grp10_PGA,Wyndham Championship (USA),william mcgirt,nick taylor,vaughn taylor
2017_8_17_v0_d2_grp5_PGA,Wyndham Championship (USA),sam saunders,haotong li,miguel angel carballo
2017_8_17_v0_d2_grp8_PGA,Wyndham Championship (USA),shane lowry,billy hurley iii,retief goosen
2017_8_17_v0_d2_grp9_PGA,Wyndham Championship (USA),graeme mcdowell,cameron smith,j.j. henry
2017_8_17_v0_d2_grp12_PGA,Wyndham Championship (USA),jason dufner,kyle stanley,billy horschel
2017_8_17_v0_d2_grp11_PGA,Wyndham Championship (USA),webb simpson,ryan moore,davis love iii
2017_8_17_v0_d2_grp2_PGA,Wyndham Championship (USA),jonas blixt,smylie kaufman,greg chalmers
2017_8_17_v0_d2_grp0_PGA,Wyndham Championship (USA),danny lee,emiliano grillo,alex cejka
2017_8_17_v0_d2_grp3_PGA,Wyndham Championship (USA),henrik stenson,kevin kisner,bill haas
2017_8_17_v0_d2_grp4_PGA,Wyndham Championship (USA),robert streb,kevin na,brian gay
2017_9_1_v0_d1_grp4_PGA,Dell Technologies Championship (USA),louis oosthuizen,xander schauffele,charles howell iii
2017_9_1_v0_d1_grp12_PGA,Dell Technologies Championship (USA),justin rose,russell henley,brendan steele
2017_9_1_v0_d1_grp11_PGA,Dell Technologies Championship (USA),rickie fowler,hideki matsuyama,jon rahm
2017_9_1_v0_d1_grp1_PGA,Dell Technologies Championship (USA),charl schwartzel,keegan bradley,bryson dechambeau
2017_9_1_v0_d1_grp6_PGA,Dell Technologies Championship (USA),dustin johnson,jordan spieth,justin thomas
2017_9_1_v0_d1_grp5_PGA,Dell Technologies Championship (USA),brooks koepka,charley hoffman,daniel berger
2017_9_1_v0_d1_grp10_PGA,Dell Technologies Championship (USA),jason day,sergio garcia,billy horschel
2017_9_1_v0_d1_grp7_PGA,Dell Technologies Championship (USA),rory mcilroy,ollie schniederjans,si woo kim
2017_9_1_v0_d1_grp3_PGA,Dell Technologies Championship (USA),matt kuchar,brian harman,pat perez
2017_9_1_v0_d1_grp2_PGA,Dell Technologies Championship (USA),patrick reed,gary woodland,wesley bryan
2017_9_1_v0_d1_grp0_PGA,Dell Technologies Championship (USA),adam scott,bubba watson,graham delaet
2017_9_1_v0_d1_grp8_PGA,Dell Technologies Championship (USA),webb simpson,kevin chappell,adam hadwin
2017_9_1_v0_d1_grp9_PGA,Dell Technologies Championship (USA),paul casey,kevin kisner,jhonattan vegas
2017_9_1_v0_d2_grp5_PGA,Dell Technologies Championship (USA),justin rose,russell henley,brendan steele
2017_9_1_v0_d2_grp9_PGA,Dell Technologies Championship (USA),patrick reed,gary woodland,wesley bryan
2017_9_1_v0_d2_grp6_PGA,Dell Technologies Championship (USA),adam scott,bubba watson,graham delaet
2017_9_1_v0_d2_grp7_PGA,Dell Technologies Championship (USA),charl schwartzel,keegan bradley,bryson dechambeau
2017_9_1_v0_d2_grp0_PGA,Dell Technologies Championship (USA),rory mcilroy,ollie schniederjans,si woo kim
2017_9_1_v0_d2_grp12_PGA,Dell Technologies Championship (USA),dustin johnson,jordan spieth,justin thomas
2017_9_1_v0_d2_grp1_PGA,Dell Technologies Championship (USA),kevin chappell,webb simpson,adam hadwin
2017_9_1_v0_d2_grp3_PGA,Dell Technologies Championship (USA),sergio garcia,jason day,billy horschel
2017_9_1_v0_d2_grp11_PGA,Dell Technologies Championship (USA),louis oosthuizen,xander schauffele,charles howell iii
2017_9_1_v0_d2_grp10_PGA,Dell Technologies Championship (USA),brooks koepka,charley hoffman,daniel berger
2017_9_1_v0_d2_grp8_PGA,Dell Technologies Championship (USA),matt kuchar,brian harman,pat perez
2017_9_1_v0_d2_grp2_PGA,Dell Technologies Championship (USA),paul casey,kevin kisner,jhonattan vegas
2017_9_14_v0_d1_grp7_PGA,BMW Championship (USA),jason day,gary woodland,bill haas
2017_9_14_v0_d1_grp10_PGA,BMW Championship (USA),charley hoffman,daniel berger,pat perez
2017_9_14_v0_d1_grp5_PGA,BMW Championship (USA),rory mcilroy,ollie schniederjans,martin laird
2017_9_14_v0_d1_grp9_PGA,BMW Championship (USA),justin rose,matt kuchar,adam hadwin
2017_9_14_v0_d1_grp8_PGA,BMW Championship (USA),webb simpson,kevin chappell,kyle stanley
2017_9_14_v0_d1_grp4_PGA,BMW Championship (USA),henrik stenson,jason dufner,brendan steele
2017_9_14_v0_d1_grp2_PGA,BMW Championship (USA),sergio garcia,phil mickelson,charles howell iii
2017_9_14_v0_d1_grp11_PGA,BMW Championship (USA),rickie fowler,hideki matsuyama,jon rahm
2017_9_14_v0_d1_grp3_PGA,BMW Championship (USA),jordan spieth,dustin johnson,justin thomas
2017_9_14_v0_d1_grp6_PGA,BMW Championship (USA),tony finau,billy horschel,wesley bryan
2017_9_14_v0_d1_grp1_PGA,BMW Championship (USA),paul casey,brooks koepka,marc leishman
2017_9_14_v0_d2_grp4_PGA,BMW Championship (USA),jason day,gary woodland,bill haas
2017_9_14_v0_d2_grp8_PGA,BMW Championship (USA),keegan bradley,ian poulter,chez reavie
2017_9_14_v0_d2_grp10_PGA,BMW Championship (USA),henrik stenson,jason dufner,brendan steele
2017_9_14_v0_d2_grp2_PGA,BMW Championship (USA),tony finau,billy horschel,wesley bryan
2017_9_14_v0_d2_grp5_PGA,BMW Championship (USA),webb simpson,kevin chappell,kyle stanley
2017_9_14_v0_d2_grp6_PGA,BMW Championship (USA),justin rose,matt kuchar,adam hadwin
2017_9_14_v0_d2_grp0_PGA,BMW Championship (USA),rory mcilroy,ollie schniederjans,martin laird
2017_9_14_v0_d2_grp12_PGA,BMW Championship (USA),jordan spieth,dustin johnson,justin thomas
2017_9_14_v0_d2_grp7_PGA,BMW Championship (USA),charley hoffman,daniel berger,pat perez
2017_9_14_v0_d2_grp9_PGA,BMW Championship (USA),sergio garcia,phil mickelson,charles howell iii
2017_9_14_v0_d2_grp3_PGA,BMW Championship (USA),rickie fowler,jon rahm,hideki matsuyama
2017_9_14_v0_d2_grp1_PGA,BMW Championship (USA),patrick cantlay,francesco molinari,kevin na
2017_9_14_v0_d2_grp11_PGA,BMW Championship (USA),paul casey,marc leishman,brooks koepka
2017_10_5_v0_d1_grp7_PGA,Safeway Open (USA),ryan moore,grayson murray,chris kirk
2017_10_5_v0_d1_grp6_PGA,Safeway Open (USA),webb simpson,phil mickelson,bryson dechambeau
2017_10_5_v0_d1_grp0_PGA,Safeway Open (USA),graham delaet,camilo villegas,tyrone van aswegen
2017_10_5_v0_d1_grp8_PGA,Safeway Open (USA),daniel summerhays,whee kim,hunter mahan
2017_10_5_v0_d1_grp3_PGA,Safeway Open (USA),zach johnson,brendan steele,chesson hadley
2017_10_5_v0_d1_grp5_PGA,Safeway Open (USA),bill haas,cameron tringale,derek fathauer
2017_10_5_v0_d1_grp2_PGA,Safeway Open (USA),martin laird,lucas glover,david hearn
2017_10_5_v0_d1_grp1_PGA,Safeway Open (USA),sung kang,troy merritt,zac blair
2017_10_5_v0_d1_grp4_PGA,Safeway Open (USA),tony finau,aaron baddeley,brian stuard
2017_10_5_v0_d2_grp3_PGA,Safeway Open (USA),daniel summerhays,hunter mahan,whee kim
2017_10_5_v0_d2_grp6_PGA,Safeway Open (USA),lucas glover,martin laird,david hearn
2017_10_5_v0_d2_grp1_PGA,Safeway Open (USA),ryan moore,grayson murray,chris kirk
2017_10_5_v0_d2_grp2_PGA,Safeway Open (USA),phil mickelson,webb simpson,bryson dechambeau
2017_10_5_v0_d2_grp0_PGA,Safeway Open (USA),bill haas,cameron tringale,derek fathauer
2017_10_5_v0_d2_grp7_PGA,Safeway Open (USA),sung kang,troy merritt,zac blair
2017_10_5_v0_d2_grp9_PGA,Safeway Open (USA),tony finau,aaron baddeley,brian stuard
2017_10_5_v0_d2_grp8_PGA,Safeway Open (USA),zach johnson,brendan steele,chesson hadley
2017_10_5_v0_d2_grp5_PGA,Safeway Open (USA),graham delaet,tyrone van aswegen,camilo villegas
2017_10_12_v0_d1_grp11_PGA,CIMB Classic (Malaysia),keegan bradley,sung kang,kelly kraft
2017_10_12_v0_d1_grp8_PGA,CIMB Classic (Malaysia),scott piercy,ollie schniederjans,danny chia
2017_10_12_v0_d1_grp3_PGA,CIMB Classic (Malaysia),justin thomas,xander schauffele,gavin green
2017_10_12_v0_d1_grp6_PGA,CIMB Classic (Malaysia),robert streb,danny lee,camilo villegas
2017_10_12_v0_d1_grp4_PGA,CIMB Classic (Malaysia),emiliano grillo,grayson murray,cameron smith
2017_10_12_v0_d1_grp7_PGA,CIMB Classic (Malaysia),gary woodland,anirban lahiri,thomas pieters
2017_10_12_v0_d1_grp2_PGA,CIMB Classic (Malaysia),russell knox,jim herman,cody gribble
2017_10_12_v0_d1_grp0_PGA,CIMB Classic (Malaysia),kevin na,richy werenski,richard t lee
2017_10_12_v0_d1_grp5_PGA,CIMB Classic (Malaysia),charl schwartzel,brendan steele,jhonattan vegas
2017_10_12_v0_d1_grp9_PGA,CIMB Classic (Malaysia),hideki matsuyama,branden grace,pat perez
2017_10_12_v0_d1_grp1_PGA,CIMB Classic (Malaysia),adam hadwin,hudson swafford,stewart cink
2017_10_12_v0_d1_grp10_PGA,CIMB Classic (Malaysia),rafa cabrera bello,kyle stanley,jonas blixt
2017_10_12_v0_d2_grp19_PGA,CIMB Classic (Malaysia),james hahn,wesley bryan,d.a. points
2017_10_12_v0_d2_grp2_PGA,CIMB Classic (Malaysia),haotong li,bud cauley,scott stallings
2017_10_12_v0_d2_grp7_PGA,CIMB Classic (Malaysia),hideki matsuyama,pat perez,branden grace
2017_10_12_v0_d2_grp14_PGA,CIMB Classic (Malaysia),danny lee,robert streb,camilo villegas
2017_10_12_v0_d2_grp9_PGA,CIMB Classic (Malaysia),brendan steele,charl schwartzel,jhonattan vegas
2017_10_12_v0_d2_grp10_PGA,CIMB Classic (Malaysia),rafa cabrera bello,kyle stanley,jonas blixt
2017_10_12_v0_d2_grp0_PGA,CIMB Classic (Malaysia),scott piercy,ollie schniederjans,danny chia
2017_10_12_v0_d2_grp3_PGA,CIMB Classic (Malaysia),ian poulter,patrick rodgers,scott hend
2017_10_12_v0_d2_grp15_PGA,CIMB Classic (Malaysia),hudson swafford,adam hadwin,stewart cink
2017_10_12_v0_d2_grp17_PGA,CIMB Classic (Malaysia),cameron smith,emiliano grillo,grayson murray
2017_10_12_v0_d2_grp16_PGA,CIMB Classic (Malaysia),jim herman,russell knox,cody gribble
2017_10_12_v0_d2_grp13_PGA,CIMB Classic (Malaysia),gary woodland,anirban lahiri,thomas pieters
2017_10_12_v0_d2_grp4_PGA,CIMB Classic (Malaysia),luke list,harold varner iii,david lipsky
2017_10_12_v0_d2_grp5_PGA,CIMB Classic (Malaysia),jason dufner,chris stroud,rod pampling
2017_10_12_v0_d2_grp12_PGA,CIMB Classic (Malaysia),kevin na,richy werenski,richard t lee
2017_10_12_v0_d2_grp1_PGA,CIMB Classic (Malaysia),peter uihlein,graham delaet,phachara khongwatmai
2017_10_12_v0_d2_grp11_PGA,CIMB Classic (Malaysia),keegan bradley,sung kang,kelly kraft
2017_10_12_v0_d2_grp8_PGA,CIMB Classic (Malaysia),chez reavie,charles howell iii,chad campbell
2017_10_12_v0_d2_grp6_PGA,CIMB Classic (Malaysia),paul casey,si woo kim,davis love iii
2017_10_12_v0_d2_grp18_PGA,CIMB Classic (Malaysia),justin thomas,xander schauffele,gavin green
2017_10_19_v0_d1_grp2_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,justin thomas,pat perez,sangmoon bae
2017_10_19_v0_d1_grp7_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,keegan bradley,anirban lahiri,sung kang
2017_10_19_v0_d1_grp4_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,luke list,young han song,camilo villegas
2017_10_19_v0_d1_grp8_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,marc leishman,xander schauffele,daniel berger
2017_10_19_v0_d1_grp6_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,rafa cabrera bello,jamie lovemark,k.t. kim
2017_10_19_v0_d1_grp1_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,paul casey,emiliano grillo,jim herman
2017_10_19_v0_d1_grp3_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,jason day,adam scott,si woo kim
2017_10_19_v0_d1_grp10_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,james hahn,chris kirk,chris stroud
2017_10_19_v0_d1_grp9_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,patrick reed,jhonattan vegas,k.j. choi
2017_10_19_v0_d1_grp11_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,kevin na,byeong hun an,j.b. holmes
2017_10_19_v0_d2_grp5_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,james hahn,chris kirk,chris stroud
2017_10_19_v0_d2_grp6_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,byeong hun an,kevin na,j.b. holmes
2017_10_19_v0_d2_grp1_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,rafa cabrera bello,jamie lovemark,k.t. kim
2017_10_19_v0_d2_grp11_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,luke list,camilo villegas,young han song
2017_10_19_v0_d2_grp0_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,jason day,adam scott,si woo kim
2017_10_19_v0_d2_grp4_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,patrick reed,jhonattan vegas,k.j. choi
2017_10_19_v0_d2_grp9_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,justin thomas,pat perez,sangmoon bae
2017_10_19_v0_d2_grp2_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,keegan bradley,anirban lahiri,sung kang
2017_10_19_v0_d2_grp3_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,marc leishman,xander schauffele,daniel berger
2017_10_19_v0_d2_grp8_PGA,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,paul casey,emiliano grillo,jim herman
2017_10_26_v2_d1_grp4_PGA,Sanderson Farms Championship (USA),ben crane,retief goosen,nicholas thompson
2017_10_26_v1_d1_grp0_PGA,WGC-HSBC Champions (China),phil mickelson,patrick reed,si woo kim
2017_10_26_v1_d1_grp10_PGA,WGC-HSBC Champions (China),dustin johnson,hideki matsuyama,jon rahm
2017_10_26_v1_d1_grp9_PGA,WGC-HSBC Champions (China),paul casey,justin rose,matt kuchar
2017_10_26_v1_d1_grp8_PGA,WGC-HSBC Champions (China),branden grace,alexander levy,jhonattan vegas
2017_10_26_v1_d1_grp3_PGA,WGC-HSBC Champions (China),marc leishman,francesco molinari,jordan smith
2017_10_26_v1_d1_grp5_PGA,WGC-HSBC Champions (China),xander schauffele,rafa cabrera bello,thomas pieters
2017_10_26_v1_d1_grp11_PGA,WGC-HSBC Champions (China),ross fisher,brian harman,bernd wiesberger
2017_10_26_v1_d1_grp4_PGA,WGC-HSBC Champions (China),kyle stanley,paul dunne,adam hadwin
2017_10_26_v1_d1_grp1_PGA,WGC-HSBC Champions (China),tommy fleetwood,adam scott,alex noren
2017_10_26_v1_d1_grp6_PGA,WGC-HSBC Champions (China),pat perez,daniel berger,charl schwartzel
2017_10_26_v2_d1_grp3_PGA,Sanderson Farms Championship (USA),hunter mahan,ángel cabrera,parker mclachlin
2017_10_26_v1_d1_grp2_PGA,WGC-HSBC Champions (China),jason day,brooks koepka,henrik stenson
2017_10_26_v2_d1_grp1_PGA,Sanderson Farms Championship (USA),kevin streelman,vaughn taylor,aaron baddeley
2017_10_26_v1_d1_grp7_PGA,WGC-HSBC Champions (China),tyrrell hatton,matthew fitzpatrick,haotong li
2017_10_26_v1_d2_grp0_PGA,WGC-HSBC Champions (China),tyrrell hatton,matthew fitzpatrick,haotong li
2017_10_26_v1_d2_grp5_PGA,WGC-HSBC Champions (China),patrick reed,phil mickelson,si woo kim
2017_10_26_v1_d2_grp2_PGA,WGC-HSBC Champions (China),branden grace,alexander levy,jhonattan vegas
2017_10_26_v2_d2_grp5_PGA,Sanderson Farms Championship (USA),j.t. poston,rick lamb,dru love
2017_10_26_v2_d2_grp0_PGA,Sanderson Farms Championship (USA),jason kokrak,david hearn,mark wilson
2017_10_26_v1_d2_grp7_PGA,WGC-HSBC Champions (China),brooks koepka,jason day,henrik stenson
2017_10_26_v2_d2_grp11_PGA,Sanderson Farms Championship (USA),seamus power,daniel summerhays,tyler duncan
2017_10_26_v2_d2_grp9_PGA,Sanderson Farms Championship (USA),smylie kaufman,billy hurley iii,davis love iii
2017_10_26_v1_d2_grp6_PGA,WGC-HSBC Champions (China),tommy fleetwood,adam scott,alex noren
2017_10_26_v1_d2_grp1_PGA,WGC-HSBC Champions (China),justin rose,paul casey,matt kuchar
2017_10_26_v2_d2_grp7_PGA,Sanderson Farms Championship (USA),ryan armour,ricky barnes,matt every
2017_10_26_v2_d2_grp4_PGA,Sanderson Farms Championship (USA),ben crane,retief goosen,nicholas thompson
2017_10_26_v2_d2_grp2_PGA,Sanderson Farms Championship (USA),hunter mahan,ángel cabrera,parker mclachlin
2017_10_26_v2_d2_grp8_PGA,Sanderson Farms Championship (USA),kevin streelman,aaron baddeley,vaughn taylor
2017_10_26_v1_d2_grp4_PGA,WGC-HSBC Champions (China),ross fisher,brian harman,bernd wiesberger
2017_11_2_v0_d1_grp6_PGA,Shriners Hospitals for Children Open (USA) - Play Offs,anirban lahiri,tyrone van aswegen,ricky barnes
2017_11_2_v0_d1_grp1_PGA,Shriners Hospitals for Children Open (USA) - Play Offs,harris english,matt jones,daniel summerhays
2017_11_2_v0_d1_grp4_PGA,Shriners Hospitals for Children Open (USA) - Play Offs,ryan moore,kevin chappell,charley hoffman
